timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2018-11-24T00:00:00.000Z";"2018-11-24T23:59:59.999Z";"2018-11-24T21:23:18.000Z";"2018-11-24T23:19:21.000Z";"2781";1.01079;1.02938;1.00283;1.01593;48606400;186685628.744533;"2018-11-24T23:59:59.999Z"
"2018-11-23T00:00:00.000Z";"2018-11-23T23:59:59.999Z";"2018-11-23T12:47:22.000Z";"2018-11-23T03:08:11.000Z";"2781";1.01185;1.02338;1.00438;1.0111;41455800;182167455.40561;"2018-11-23T23:59:59.999Z"
"2018-11-22T00:00:00.000Z";"2018-11-22T23:59:59.999Z";"2018-11-22T23:28:13.000Z";"2018-11-22T21:06:12.000Z";"2781";1.00992;1.02275;1.00873;1.01752;29865100;183324131.366152;"2018-11-22T23:59:59.999Z"
"2018-11-21T00:00:00.000Z";"2018-11-21T23:59:59.999Z";"2018-11-21T00:09:15.000Z";"2018-11-21T21:43:14.000Z";"2781";1.02369;1.02913;1.00496;1.01242;54142300;172667628.711342;"2018-11-21T23:59:59.999Z"
"2018-11-20T00:00:00.000Z";"2018-11-20T23:59:59.999Z";"2018-11-20T20:25:17.000Z";"2018-11-20T14:59:15.000Z";"2781";1.01207;1.04124;0.991138;1.01922;86187600;166782323.301712;"2018-11-20T23:59:59.999Z"
"2018-11-19T00:00:00.000Z";"2018-11-19T23:59:59.999Z";"2018-11-19T10:13:11.000Z";"2018-11-19T16:42:17.000Z";"2781";1.01214;1.03333;1.00484;1.01417;52885900;161651711.393012;"2018-11-19T23:59:59.999Z"
"2018-11-18T00:00:00.000Z";"2018-11-18T23:59:59.999Z";"2018-11-18T00:47:16.000Z";"2018-11-18T19:03:09.000Z";"2781";1.01154;1.01617;1.00811;1.01289;14594900;161447688.210919;"2018-11-18T23:59:59.999Z"
"2018-11-17T00:00:00.000Z";"2018-11-17T23:59:59.999Z";"2018-11-17T01:17:08.000Z";"2018-11-17T17:02:12.000Z";"2781";1.01763;1.01809;1.00887;1.01163;14883400;161246852.891046;"2018-11-17T23:59:59.999Z"
"2018-11-16T00:00:00.000Z";"2018-11-16T23:59:59.999Z";"2018-11-16T01:40:28.000Z";"2018-11-16T13:59:17.000Z";"2781";1.01697;1.01828;1.00835;1.0144;25559600;160767256.032544;"2018-11-16T23:59:59.999Z"
"2018-11-15T00:00:00.000Z";"2018-11-15T23:59:59.999Z";"2018-11-15T10:18:30.000Z";"2018-11-15T17:07:15.000Z";"2781";1.01723;1.02787;1.00834;1.01592;43802400;160662887.991108;"2018-11-15T23:59:59.999Z"
"2018-11-14T00:00:00.000Z";"2018-11-14T23:59:59.999Z";"2018-11-14T20:32:04.000Z";"2018-11-14T16:39:08.000Z";"2781";1.01191;1.0345;0.99806;1.0138;47771200;159859331.71967;"2018-11-14T23:59:59.999Z"
"2018-11-13T00:00:00.000Z";"2018-11-13T23:59:59.999Z";"2018-11-13T18:25:07.000Z";"2018-11-13T00:51:13.000Z";"2781";1.00765;1.01645;1.00561;1.01342;16488900;159789277.864853;"2018-11-13T23:59:59.999Z"
"2018-11-12T00:00:00.000Z";"2018-11-12T23:59:59.999Z";"2018-11-12T07:29:12.000Z";"2018-11-12T00:41:15.000Z";"2781";1.00303;1.01151;1.00131;1.0086;17088700;159259053.64569;"2018-11-12T23:59:59.999Z"
"2018-11-11T00:00:00.000Z";"2018-11-11T23:59:59.999Z";"2018-11-11T00:12:11.000Z";"2018-11-11T14:46:13.000Z";"2781";1.007;1.00843;1.00011;1.0028;11874300;158353656.36162;"2018-11-11T23:59:59.999Z"
"2018-11-10T00:00:00.000Z";"2018-11-10T23:59:59.999Z";"2018-11-10T02:22:14.000Z";"2018-11-10T20:18:17.000Z";"2781";1.00624;1.01082;1.00169;1.00695;14076100;159008989.103842;"2018-11-10T23:59:59.999Z"
"2018-11-09T00:00:00.000Z";"2018-11-09T23:59:59.999Z";"2018-11-09T23:23:13.000Z";"2018-11-09T06:49:09.000Z";"2781";1.00369;1.0111;0.99922;1.00602;16106700;158862131.404983;"2018-11-09T23:59:59.999Z"
